age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
49,3,81973,10,2,2,0,1,1,0,0,40,39,>50K
61,4,66614,9,2,2,0,4,1,0,0,40,39,<=50K
27,3,232782,10,4,12,3,4,0,0,0,40,39,<=50K
19,3,316868,10,4,7,3,4,1,0,0,30,26,<=50K
45,3,196584,11,4,10,1,4,0,0,1564,40,39,>50K
70,3,105376,10,4,13,2,4,1,0,0,40,39,<=50K
31,3,185814,9,4,14,4,2,0,0,0,30,39,<=50K
22,3,175374,10,2,7,0,4,1,0,0,24,39,<=50K
36,3,108293,9,6,7,4,4,0,0,0,24,39,<=50K
64,3,181232,7,2,2,0,4,1,0,2179,40,39,<=50K
43,0,174662,10,0,8,1,4,0,0,0,40,39,<=50K
47,2,186009,10,0,0,4,4,0,0,0,38,26,<=50K
34,3,198183,9,4,0,1,4,0,0,0,40,39,<=50K
33,3,163003,13,4,3,2,1,0,0,0,40,30,<=50K
21,3,296158,9,4,2,3,4,1,0,0,35,39,<=50K
52,0,252903,9,0,8,1,4,1,0,0,45,39,>50K
48,3,187715,9,2,2,0,4,1,0,0,46,39,<=50K
23,3,214542,13,4,5,1,4,1,0,0,40,39,<=50K
71,5,494223,10,5,12,4,2,1,0,1816,2,39,<=50K
29,3,191535,9,0,2,1,4,1,0,0,60,39,<=50K
42,3,228456,13,5,7,2,2,1,0,0,50,39,<=50K
25,3,252752,9,4,7,4,4,0,0,0,40,39,<=50K
44,4,78374,14,0,3,4,1,0,0,0,40,39,<=50K
28,3,88419,9,4,3,1,1,0,0,0,40,9,<=50K
45,5,201080,14,2,12,0,4,1,0,0,40,39,>50K
36,3,207157,10,0,7,4,4,0,0,0,40,26,<=50K
39,1,235485,12,4,3,1,4,1,0,0,42,39,<=50K
46,6,102628,14,6,11,4,4,1,0,0,40,39,<=50K
18,3,25828,7,4,5,3,4,1,0,0,16,39,<=50K
66,2,54826,11,6,10,1,4,0,0,0,20,39,<=50K
27,3,124953,9,4,7,1,4,1,0,1980,40,39,<=50K
28,6,175325,9,2,11,0,4,1,0,0,40,39,<=50K
51,3,96062,10,2,12,0,4,1,0,1977,40,39,>50K
27,3,428030,13,4,2,1,4,1,0,0,50,39,<=50K
28,6,149624,13,2,10,0,4,1,0,0,40,39,>50K
27,3,253814,9,3,12,4,4,0,0,0,25,39,<=50K
21,3,312956,9,4,2,3,2,1,0,0,40,39,<=50K
34,3,483777,9,4,5,1,2,1,0,0,40,39,<=50K
18,3,183930,9,4,7,3,4,1,0,0,12,39,<=50K
33,3,37274,13,2,10,0,4,1,0,0,65,39,<=50K
44,2,181344,10,2,3,0,2,1,0,0,38,39,>50K
43,3,114580,10,0,0,1,4,0,0,0,40,39,<=50K
30,3,633742,10,4,2,1,2,1,0,0,45,39,<=50K
40,3,286370,4,2,6,0,4,1,0,0,40,26,>50K
37,1,29054,10,2,0,0,4,1,0,0,42,39,>50K
34,3,304030,9,2,0,0,2,1,0,0,40,39,<=50K
41,5,143129,13,0,3,1,4,0,0,0,40,39,<=50K
53,0,135105,13,0,8,1,4,0,0,0,50,39,<=50K
31,3,99928,14,2,10,5,4,0,0,0,50,39,<=50K
58,6,109567,16,2,10,0,4,1,0,0,1,39,>50K
38,3,155222,10,0,6,1,2,0,0,0,28,39,<=50K
24,3,159567,10,2,6,0,4,1,0,0,40,39,<=50K
41,2,523910,13,2,2,0,2,1,0,0,40,39,<=50K
47,3,120939,10,2,13,0,4,1,0,0,45,39,<=50K
41,1,130760,13,2,13,0,4,1,0,0,24,39,<=50K
36,3,99374,10,0,2,1,4,1,0,0,40,39,<=50K
40,1,56795,14,4,3,1,4,0,14084,0,55,39,>50K
35,3,138992,14,2,10,2,4,1,7298,0,40,39,>50K
24,5,32921,9,4,12,1,4,1,0,0,40,39,<=50K
26,3,397317,14,4,10,1,4,0,0,1876,40,39,<=50K
19,0,170653,9,4,8,3,4,1,0,0,40,22,<=50K
51,3,259323,13,2,3,0,4,1,0,0,50,39,>50K
42,2,254817,10,4,10,1,4,0,0,1340,40,39,<=50K
37,6,48211,9,0,0,4,4,0,0,0,35,39,<=50K
18,3,140164,7,4,12,3,4,0,0,0,40,39,<=50K
36,3,128757,13,2,7,0,2,1,7298,0,36,39,>50K
35,3,36270,9,0,2,1,4,1,0,0,60,39,<=50K
58,4,210563,9,2,12,5,4,0,15024,0,35,39,>50K
17,3,65368,7,4,12,3,4,0,0,0,12,39,<=50K
44,2,160943,9,2,14,0,2,1,0,0,40,39,<=50K
37,3,208358,9,2,2,0,4,1,0,0,40,39,>50K
35,3,153790,10,4,12,1,0,0,0,0,40,39,<=50K
60,3,85815,9,2,2,0,1,1,0,0,40,39,<=50K
54,4,125417,4,2,6,0,4,1,0,0,40,39,>50K
37,3,635913,13,4,3,1,2,1,0,0,60,39,>50K
50,3,313321,12,0,12,1,4,0,0,0,40,39,<=50K
38,3,182609,13,2,12,0,4,1,0,0,50,31,<=50K
45,3,109434,13,2,10,0,4,1,0,0,55,39,<=50K
25,3,255004,6,4,2,1,4,1,0,0,40,39,<=50K
31,3,197860,10,2,5,0,4,1,0,0,40,39,<=50K
54,3,176681,9,2,0,0,2,1,0,0,20,39,<=50K
18,3,243313,9,4,12,3,4,0,0,0,40,39,<=50K
60,0,24215,6,0,8,1,0,0,0,0,10,39,<=50K
66,5,167687,9,2,4,0,4,1,1409,0,50,39,<=50K
75,3,314209,11,6,0,1,4,0,0,0,20,4,<=50K
65,3,176796,9,0,0,1,4,0,0,0,40,39,<=50K
35,3,538583,7,5,14,1,2,1,3674,0,40,39,<=50K
41,3,130408,9,0,12,4,2,0,0,0,38,39,<=50K
25,3,159732,10,4,0,1,4,1,0,0,42,39,<=50K
33,3,110978,10,0,2,2,3,0,0,0,40,39,<=50K
28,3,76714,15,4,10,1,4,1,0,0,55,39,>50K
59,6,268700,9,2,7,0,4,1,0,0,40,39,<=50K
40,6,170525,10,4,0,1,4,0,0,0,38,39,<=50K
41,3,180138,13,2,3,0,4,1,0,0,50,20,>50K
38,2,115076,14,2,3,0,4,1,0,0,70,39,>50K
23,3,115458,9,4,14,3,4,1,0,0,40,39,<=50K
40,3,347890,13,2,10,0,4,1,0,0,40,39,>50K
41,5,196001,9,2,7,5,4,0,0,0,20,39,<=50K
24,6,273905,12,2,11,0,4,1,0,0,50,39,<=50K
20,0,119156,10,4,8,3,4,1,0,0,20,39,<=50K
38,3,179488,10,0,2,1,4,1,0,1741,40,39,<=50K
56,3,203580,9,2,0,0,4,1,0,0,35,0,<=50K
58,3,236596,9,2,0,0,4,1,0,0,45,39,>50K
32,3,183916,9,4,7,1,4,0,0,0,34,39,<=50K
40,3,207578,12,2,13,0,4,1,0,1977,60,39,>50K
45,3,153141,9,2,0,0,4,1,0,0,40,0,<=50K
41,3,112763,15,2,10,5,4,0,0,0,40,39,>50K
42,3,390781,13,2,0,5,2,0,0,0,40,39,<=50K
59,2,171328,6,6,7,4,2,0,0,0,30,39,<=50K
19,2,27382,10,4,0,3,4,1,0,0,40,39,<=50K
58,3,259014,10,4,14,1,4,1,0,0,20,39,<=50K
42,5,303044,9,2,4,0,1,1,0,0,40,1,>50K
20,3,117789,9,4,7,3,4,0,0,0,40,39,<=50K
32,3,172579,9,5,7,1,4,0,0,0,30,39,<=50K
45,3,187666,11,6,3,1,4,0,0,0,45,39,<=50K
50,3,204518,4,0,2,1,4,1,0,0,40,39,<=50K
36,3,150042,13,0,10,3,4,0,0,0,40,39,<=50K
45,3,98092,9,2,12,0,4,1,0,0,60,39,<=50K
17,3,245918,7,4,7,3,4,1,0,0,12,39,<=50K
59,3,146013,10,2,12,0,4,1,4064,0,40,39,<=50K
26,3,378322,7,2,2,0,4,1,0,0,40,39,<=50K
37,4,257295,10,2,3,0,1,1,0,0,75,37,>50K
19,0,218956,10,4,8,3,4,1,0,0,24,2,<=50K
64,3,21174,9,2,3,0,4,1,0,0,40,39,>50K
33,3,185480,13,4,10,1,4,0,0,0,45,39,<=50K
33,3,222205,9,2,2,5,4,0,0,0,40,39,>50K
61,3,69867,9,2,3,0,4,1,0,0,40,39,>50K
17,3,191260,5,4,7,3,4,1,1055,0,24,39,<=50K
50,5,30653,14,2,4,0,4,1,2407,0,98,39,<=50K
27,2,209109,14,4,10,3,4,1,0,0,35,39,<=50K
30,3,70377,9,0,10,3,4,0,0,0,40,39,<=50K
43,3,477983,9,2,5,0,2,1,0,0,40,39,<=50K
44,3,170924,10,2,2,0,4,1,7298,0,40,39,>50K
35,3,190174,10,4,3,1,4,0,0,0,40,39,<=50K
25,3,193787,10,4,13,3,4,0,0,0,40,39,<=50K
24,3,279472,10,2,6,5,4,0,7298,0,48,39,>50K
22,3,34918,13,4,10,1,4,0,0,0,15,11,<=50K
42,2,97688,10,2,2,0,4,1,5178,0,40,39,>50K
34,3,175413,12,0,12,4,2,0,0,0,45,39,<=50K
60,3,173960,13,0,10,1,4,0,0,0,42,39,<=50K
21,3,205759,9,4,5,3,4,1,0,0,40,39,<=50K
57,1,425161,14,2,12,0,4,1,15024,0,40,39,>50K
41,3,220531,15,2,10,0,4,1,0,0,60,39,>50K
50,3,176609,10,0,7,1,4,1,0,0,45,39,<=50K
25,3,371987,13,4,3,1,4,0,0,0,40,39,<=50K
50,3,193884,4,2,2,0,4,1,0,0,40,7,<=50K
36,3,200352,13,2,10,0,4,1,0,0,45,39,<=50K
31,3,127595,9,0,10,1,4,0,0,0,40,39,<=50K
29,2,220419,13,4,11,1,4,1,0,0,56,39,<=50K
21,3,231931,10,4,12,3,4,1,0,0,45,39,<=50K
27,3,248402,13,4,13,4,2,0,0,0,40,39,<=50K
65,3,111095,9,2,14,0,4,1,0,0,16,39,<=50K
37,4,57424,13,0,12,1,4,0,0,0,60,39,<=50K
39,0,157443,14,2,8,5,1,0,3464,0,40,0,<=50K
24,3,278130,9,4,2,3,4,1,0,0,40,39,<=50K
38,3,169469,9,0,12,1,4,1,0,0,80,39,<=50K
48,3,146268,13,2,0,0,4,1,7688,0,40,39,>50K
21,3,153718,10,4,7,1,1,0,0,0,25,39,<=50K
31,3,217460,9,2,14,0,4,1,0,0,45,39,>50K
55,3,238638,9,2,12,0,4,1,4386,0,40,39,>50K
24,3,303296,10,2,0,5,1,0,0,0,40,25,<=50K
43,3,173321,9,0,0,1,4,0,0,0,40,39,<=50K
26,3,193945,12,4,13,1,4,1,0,0,45,39,<=50K
46,3,83082,12,4,10,1,4,0,0,0,33,39,<=50K
35,3,193815,12,2,0,0,4,1,0,0,40,39,>50K
41,4,34987,10,2,4,0,4,1,0,0,54,39,>50K
26,3,59306,13,4,12,1,4,1,0,0,40,39,<=50K
34,3,142897,14,2,3,0,1,1,7298,0,35,36,>50K
19,0,860348,10,4,8,3,2,0,0,0,25,39,<=50K
36,5,205607,13,0,10,1,2,0,0,0,40,39,>50K
22,3,199698,10,4,12,3,4,1,0,0,15,39,<=50K
24,3,191954,10,4,6,1,4,1,0,0,40,39,<=50K
29,3,423158,10,4,13,1,4,0,0,0,40,39,<=50K
62,3,159841,9,6,7,1,4,0,0,0,24,39,<=50K
39,5,174308,9,2,3,0,4,1,0,0,40,39,<=50K
43,3,50356,10,2,2,0,4,1,0,1485,50,39,<=50K
35,3,186110,9,0,14,1,4,1,0,0,45,39,<=50K
29,3,200381,7,4,3,1,4,0,0,0,40,39,<=50K
63,5,78383,9,2,4,0,4,1,0,0,45,39,<=50K
23,0,211601,11,4,8,3,2,0,0,0,15,39,<=50K
43,3,187728,10,2,10,5,4,0,0,1887,50,39,>50K
58,5,321171,9,2,5,0,4,1,0,0,40,39,<=50K
66,3,127921,9,4,14,1,4,1,2050,0,55,39,<=50K
41,3,206565,10,4,2,1,2,1,0,0,45,39,<=50K
26,3,224563,13,4,0,1,4,1,0,0,40,39,<=50K
47,3,178686,11,4,7,1,4,1,0,0,40,39,<=50K
55,2,98545,6,2,0,0,4,1,0,0,40,39,<=50K
53,3,242606,9,2,14,0,4,1,0,0,40,39,<=50K
30,3,94235,9,4,2,2,4,1,0,0,40,39,<=50K
49,3,71195,14,4,10,1,4,1,0,0,60,39,<=50K
19,3,104112,9,4,12,4,2,1,0,0,30,14,<=50K
45,3,261192,9,2,7,0,2,1,0,0,40,39,<=50K
26,3,94936,12,4,12,1,4,1,0,0,40,39,<=50K
38,3,296478,11,2,2,0,4,1,7298,0,40,39,>50K
36,6,119272,9,2,11,0,4,1,7298,0,40,39,>50K
33,3,85043,9,4,4,1,4,1,0,0,20,39,<=50K
22,6,293364,10,4,11,3,2,0,0,0,40,39,<=50K
43,5,241895,13,4,12,1,4,1,0,0,42,39,<=50K
67,0,36135,7,2,8,0,4,1,0,0,8,39,<=50K
30,0,151989,11,0,8,4,4,0,0,0,40,39,<=50K
56,3,101128,12,3,7,1,4,1,0,0,25,20,<=50K
31,3,156464,13,4,10,3,4,1,0,0,25,39,<=50K
33,3,117963,13,2,3,0,4,1,0,0,40,39,>50K
26,3,192262,9,2,7,0,4,1,0,0,40,39,<=50K
33,3,111363,13,2,3,0,4,1,0,0,40,39,>50K
46,2,329752,7,2,14,0,4,1,0,0,30,39,<=50K
59,0,372020,13,2,8,0,4,1,0,0,40,39,>50K
38,1,95432,9,2,0,0,4,1,0,0,40,39,>50K
65,3,161400,7,6,7,4,3,1,0,0,40,39,<=50K
40,3,96129,11,2,13,0,4,1,0,0,40,39,>50K
42,3,111949,9,2,0,5,4,0,0,0,35,39,<=50K
26,5,117125,5,2,2,0,4,1,0,0,40,32,<=50K
36,3,348022,6,2,7,5,4,0,0,0,24,39,<=50K
62,3,270092,14,2,10,0,4,1,0,0,40,39,>50K
43,3,180609,13,2,14,0,4,1,0,0,45,39,<=50K
43,3,174575,13,0,3,1,4,1,0,1564,45,39,>50K
22,3,410439,9,3,12,1,4,1,0,0,55,39,<=50K
28,3,92262,9,2,2,0,4,1,0,0,40,39,<=50K
56,5,183081,10,2,12,0,4,1,0,0,45,39,<=50K
22,3,362589,12,4,12,1,4,0,0,0,15,39,<=50K
57,3,212448,13,0,3,1,4,0,0,0,45,39,>50K
39,3,481060,9,0,12,4,4,0,0,0,40,39,<=50K
26,1,185885,10,4,0,4,4,0,0,0,15,39,<=50K
17,3,89821,7,4,7,3,4,1,0,0,10,39,<=50K
40,6,184018,11,2,6,0,4,1,0,0,38,39,>50K
45,3,256649,9,2,6,0,2,1,0,0,40,39,<=50K
44,3,160323,9,4,2,1,2,1,0,0,40,39,<=50K
20,2,350845,10,4,0,3,4,0,0,0,10,39,<=50K
33,3,267404,9,2,2,5,4,0,0,0,40,39,<=50K
23,3,35633,10,4,12,1,4,1,0,0,40,39,<=50K
46,5,80914,14,0,3,1,4,1,0,0,30,39,<=50K
38,3,172927,9,2,12,0,4,1,0,0,50,39,<=50K
54,3,174319,9,0,14,1,4,1,0,0,40,39,<=50K
25,3,344991,10,2,2,0,4,1,0,0,40,39,<=50K
46,3,108699,10,0,12,1,4,0,0,0,40,39,<=50K
36,2,117312,10,2,14,5,4,0,0,0,40,39,<=50K
23,3,396099,9,4,7,1,4,0,0,0,25,39,<=50K
29,3,134152,9,5,6,1,4,1,0,0,40,39,<=50K
44,3,162028,10,2,0,5,4,0,0,2415,6,39,>50K
19,3,25429,10,4,0,3,4,0,0,0,16,39,<=50K
19,3,232392,9,4,7,2,4,0,0,0,40,39,<=50K
35,3,220098,9,2,7,5,4,0,0,0,40,39,>50K
27,3,301302,13,4,2,1,4,1,0,0,50,39,<=50K
46,5,277946,12,5,2,1,4,1,0,0,40,39,<=50K
34,6,98101,13,2,3,0,4,1,7688,0,45,0,>50K
34,3,196164,9,4,7,1,4,0,0,0,35,39,<=50K
44,3,115562,10,2,13,0,4,1,0,0,40,39,<=50K
45,3,96975,10,0,5,4,4,0,0,0,40,39,<=50K
20,0,137300,9,4,8,2,4,0,0,0,35,39,<=50K
25,3,86872,13,2,3,0,4,1,0,0,55,39,>50K
52,4,132178,13,2,3,0,4,1,0,0,50,39,>50K
20,3,416103,10,4,5,3,4,1,0,0,40,39,<=50K
28,3,108574,10,4,7,1,4,0,0,0,40,39,<=50K
50,6,288353,13,2,11,0,4,1,0,0,40,39,>50K
34,3,227689,11,0,13,1,4,0,0,0,64,39,<=50K
28,3,166481,4,2,5,0,3,1,0,2179,40,33,<=50K
41,3,445382,14,2,3,0,4,1,0,1977,65,39,>50K
28,3,110145,9,2,0,0,4,1,0,0,40,39,<=50K
46,5,317253,9,2,2,0,4,1,0,0,25,39,<=50K
28,0,123147,10,2,8,5,4,0,0,1887,40,39,>50K
32,3,364657,10,2,3,0,4,1,0,0,50,39,<=50K
41,2,42346,10,0,7,1,2,0,0,0,24,39,<=50K
24,3,241951,9,4,5,4,2,0,0,0,40,39,<=50K
33,3,118500,10,0,3,4,4,0,0,0,40,39,<=50K
46,3,188386,16,2,3,0,4,1,15024,0,60,39,>50K
31,6,1033222,10,2,6,0,4,1,0,0,40,39,<=50K
35,3,92440,8,0,2,1,4,1,0,0,50,39,>50K
30,3,426017,7,4,7,3,4,0,0,0,19,39,<=50K
34,2,243867,7,5,6,1,2,1,0,0,40,39,<=50K
34,6,240283,9,0,14,4,4,0,0,0,40,39,<=50K
20,3,61777,10,2,12,0,4,1,0,0,30,39,<=50K
17,3,175024,7,4,5,3,4,1,2176,0,18,39,<=50K
32,6,92003,13,2,3,5,4,0,0,0,40,39,>50K
29,3,188401,9,0,4,1,4,1,0,0,40,39,<=50K
33,3,228528,6,4,2,4,4,0,0,0,35,39,<=50K
25,3,133373,9,2,14,0,4,1,0,0,60,39,<=50K
36,1,255191,14,4,10,1,4,1,0,1408,40,39,<=50K
23,3,204653,9,4,5,1,4,1,0,0,72,6,<=50K
63,4,222289,9,2,3,0,4,1,0,0,40,39,>50K
47,2,287480,14,2,10,0,4,1,0,0,40,39,<=50K
17,0,202521,7,4,8,3,4,1,0,0,40,39,<=50K
40,5,204116,13,3,10,1,4,0,2174,0,40,39,<=50K
30,3,29662,12,2,7,5,4,0,0,0,25,39,>50K
27,3,116358,10,4,2,3,1,1,0,1980,40,30,<=50K
33,3,208405,14,2,10,0,4,1,0,0,50,39,>50K
34,2,284843,9,4,4,1,2,1,594,0,60,39,<=50K
34,2,117018,10,4,11,1,4,0,0,0,40,39,<=50K
23,3,81281,10,2,0,0,4,1,0,0,40,39,<=50K
42,2,340148,10,2,0,5,4,0,0,0,40,39,<=50K
29,3,363425,13,4,10,1,4,1,0,0,40,39,<=50K
45,3,45857,9,0,0,1,4,0,0,0,28,39,<=50K
24,1,191073,9,4,1,3,4,1,0,0,40,39,<=50K
44,3,116632,10,2,10,0,4,1,0,0,40,39,>50K
27,3,405855,5,4,2,2,4,1,0,0,40,26,<=50K
20,3,298227,10,4,12,1,4,1,0,0,35,39,<=50K
44,3,290521,9,6,3,4,2,0,0,0,40,39,<=50K
51,3,56915,9,2,2,0,0,1,0,0,40,39,<=50K
20,3,146538,9,2,6,0,4,1,0,0,40,39,<=50K
